Pyar Kiya To Darna Kya Mughal-E-Azam (1960)
Honton Mein Aisi Baat Main Jewel Thief (1967)
Piya Tu Ab To Aaja Caravan (1971)
Ke Pag Ghungaroo Baandh Namak Halal (1982)
I Am A Disco Dancer Disco Dancer (1982)
Humko Aaj Kal Hai Intezaar Sailaab (1990)
Ankhiyan Milaoon Kabhi Ankhiya Raja (1995)
Yaara O Yaara Milna Hamara Jeet (1996)
Kisi Disco Mein Jaayen Kisi Hotel Bade Miyan Chhote Miyan (1998)
Dola Re Dola Devdas (2002)
Khaike Paan Banaraswala Don (2006)
Aaja Nachle Aaja Nachle (2007)
Ghahra Yeh Jawaani Hai Deewani (2013)
Prem Ratan Dhan Payo Prem Ratan Dhan Payo (2015)
Pinga Bajirao Mastani (2015)
